"","ID","key_press","trial_type","trial_index","control_level","correct","confidence_level","test_part","staircase","reverse","staircaseA","staircaseB","average_thre"
"2151",33,65,"dot-motion",237,0.0065096,1,4,"stimulus",0,NA,0,0,0
"2152",82,65,"dot-motion",217,0.072006,NA,4,"stimulus",0,NA,0,0,0
"2153",76,65,"dot-motion",205,0.117012,NA,2,"stimulus",0,1,0,0,0
"2154",71,65,"dot-motion",267,0.00250135,1,1,"stimulus",1,NA,0,0,0
"2155",90,66,"dot-motion",135,0.0225015,NA,2,"stimulus",1,1,0,0,0
"2156",12,65,"dot-motion",137,0.0625053,1,3,"stimulus",1,1,0,0,0
"2157",85,65,"dot-motion",115,0.00650075,NA,2,"stimulus",0,1,0,0,0
"2158",18,66,"dot-motion",57,0.0075015,1,1,"stimulus",0,NA,0,0,0
"2159",93,65,"dot-motion",151,0.0040033,1,1,"stimulus",0,NA,0,0,0
"2160",54,65,"dot-motion",105,0.0235041,1,2,"stimulus",0,NA,0,0,0
"2161",16,66,"dot-motion",117,0.012503,1,2,"stimulus",0,1,0,0,0
"2162",92,65,"dot-motion",181,0.0135024,1,2,"stimulus",1,NA,0,0,0
"2163",5,65,"dot-motion",25,0.025,NA,4,"stimulus",0,NA,0,0,0
"2164",14,65,"dot-motion",143,0.0050033,1,4,"stimulus",1,NA,0,0,0
"2165",46,65,"dot-motion",115,0.0575037,1,4,"stimulus",1,1,0,0,0
"2166",33,65,"dot-motion",239,0.0055096,1,3,"stimulus",0,NA,0,0,0
"2167",71,65,"dot-motion",269,0.0055054,1,4,"stimulus",0,1,0,0,0
"2168",49,65,"dot-motion",43,0,1,1,"stimulus",0,NA,0,0,0
"2169",41,65,"dot-motion",119,0.082509,NA,4,"stimulus",0,1,0,0,0
"2170",82,65,"dot-motion",219,0.25,NA,3,"catch trial",0,NA,0,0,0
"2171",90,66,"dot-motion",137,0.0300022,NA,3,"stimulus",1,NA,0,0,0
"2172",76,66,"dot-motion",207,0.25,NA,2,"catch trial",0,NA,0,0,0
"2173",85,65,"dot-motion",117,0.00950105,NA,1,"stimulus",0,NA,0,0,0
"2174",93,65,"dot-motion",153,0.0030033,NA,1,"stimulus",0,1,0,0,0
"2175",18,66,"dot-motion",59,0.0050015,1,1,"stimulus",0,NA,0,0,0
"2176",14,66,"dot-motion",145,0.0040033,1,4,"stimulus",1,NA,0,0,0
"2177",46,66,"dot-motion",117,0.0550038,NA,4,"stimulus",1,1,0,0,0
"2178",16,65,"dot-motion",119,0.0060033,1,2,"stimulus",1,NA,0,0,0
"2179",12,65,"dot-motion",139,0.0540045,1,3,"stimulus",0,1,0,0,0
"2180",54,66,"dot-motion",107,0.015003,1,1,"stimulus",1,1,0,0,0
"2181",92,66,"dot-motion",183,0.0125024,1,4,"stimulus",1,NA,0,0,0
"2182",90,65,"dot-motion",139,0.037503,1,2,"stimulus",1,1,0,0,0
"2183",82,66,"dot-motion",221,0.0680072,1,3,"stimulus",1,1,0,0,0
"2184",71,65,"dot-motion",271,0.0053054,1,4,"stimulus",0,NA,0,0,0
"2185",33,66,"dot-motion",241,0.0045096,1,2,"stimulus",0,NA,0,0,0
"2186",41,66,"dot-motion",121,0.0855093,1,3,"stimulus",0,1,0,0,0
"2187",49,65,"dot-motion",45,0,NA,3,"stimulus",0,1,0,0,0
"2188",46,66,"dot-motion",119,0.0425038,1,4,"stimulus",0,NA,0,0,0
"2189",14,65,"dot-motion",147,0,1,4,"stimulus",0,NA,0,0,0
"2190",85,66,"dot-motion",119,0.010003,1,1,"stimulus",1,NA,0,0,0
"2191",93,66,"dot-motion",155,0.0035033,1,1,"stimulus",1,NA,0,0,0
"2192",18,65,"dot-motion",61,0.0025015,1,4,"stimulus",0,NA,0,0,0
"2193",76,66,"dot-motion",209,0.117613,1,2,"stimulus",0,1,0,0,0
"2194",76,NA,"score trial",0,0,NA,0,"score trial",0,NA,0.117532,0.085528,0.10153
"2195",54,65,"dot-motion",109,0.0225041,1,2,"stimulus",0,NA,0,0,0
"2196",16,66,"dot-motion",121,0.011503,1,2,"stimulus",0,NA,0,0,0
"2197",5,65,"dot-motion",27,0.02,NA,4,"stimulus",1,1,0,0,0
"2198",92,65,"dot-motion",185,0.0040057,1,1,"stimulus",0,NA,0,0,0
"2199",71,66,"dot-motion",273,0.00150135,1,3,"stimulus",1,NA,0,0,0
"2200",33,66,"dot-motion",243,0.25,1,4,"catch trial",0,NA,0,0,0
"2201",12,66,"dot-motion",141,0.0538045,NA,3,"stimulus",0,1,0,0,0
"2202",41,65,"dot-motion",123,0.0853093,1,3,"stimulus",0,NA,0,0,0
"2203",90,65,"dot-motion",141,0.035003,NA,3,"stimulus",1,1,0,0,0
"2204",82,65,"dot-motion",223,0.0670072,1,3,"stimulus",1,NA,0,0,0
